Father_Occupation,Mother_Occupation,Application_Mode,Father_Qualification,Mother_Qualification,GDP,Scholarship_Holder,Inflation_Rate,Debtor,Application_Order,Target
9,5,17,12,19,1.74,0,1.4,0,5,0
9,9,1,37,37,1.74,0,1.4,0,5,0
9,9,18,37,37,-4.06,0,2.8,0,4,0
7,4,1,19,1,3.51,0,1.4,1,1,0
9,4,1,37,19,-1.7,0,3.7,0,2,0
3,9,1,37,19,-4.06,0,2.8,0,1,0
6,9,39,37,38,3.51,0,1.4,1,1,0
0,0,39,37,34,0.32,0,2.6,0,1,0
6,6,43,37,37,-0.92,0,0.3,0,1,0
6,3,44,4,4,1.79,0,0.5,1,1,0
2,2,1,3,3,-1.7,0,3.7,1,5,0
5,5,17,38,1,1.79,0,0.5,0,1,0
9,9,39,37,37,-0.92,0,0.3,0,1,0
9,9,39,38,38,-3.12,0,-0.8,0,1,0
3,4,7,3,1,1.79,0,0.5,0,1,0
2,2,39,3,3,1.79,0,0.5,0,1,0
5,5,42,1,1,0.79,0,-0.3,0,1,0
7,7,1,38,1,-0.92,0,0.3,1,3,0
10,5,1,19,19,-4.06,0,2.8,0,1,0
7,5,17,37,38,1.79,0,0.5,0,4,0
7,4,17,19,19,1.74,0,1.4,1,3,0
7,7,18,37,19,-3.12,1,-0.8,0,4,0
9,9,1,19,19,1.74,0,1.4,0,6,0
2,2,39,3,3,1.74,0,1.4,0,1,0
2,4,39,3,3,1.79,0,0.5,1,1,0
10,4,39,1,1,0.79,0,-0.3,0,1,0
4,4,15,1,1,3.51,0,1.4,0,1,0
0,0,39,34,37,0.32,0,2.6,0,1,0
2,2,1,3,3,0.79,0,-0.3,1,4,0
9,9,53,38,38,3.51,0,1.4,0,1,0
5,6,39,37,37,-3.12,0,-0.8,0,1,0
7,9,18,19,19,2.02,0,0.6,0,1,0
7,4,1,38,37,-0.92,0,0.3,0,2,0
4,4,1,1,1,-4.06,0,2.8,0,1,0
3,4,1,4,3,1.79,0,0.5,0,5,0
9,9,17,37,37,0.32,0,2.6,0,2,0
5,4,17,1,1,-3.12,0,-0.8,0,1,0
9,2,1,19,3,1.74,0,1.4,0,1,0
5,4,17,1,1,0.79,0,-0.3,0,6,0
8,5,1,19,19,0.79,1,-0.3,0,3,0
3,3,17,19,1,0.79,0,-0.3,0,6,0
9,3,1,38,1,1.79,1,0.5,1,1,0
9,9,1,19,12,0.32,0,2.6,0,4,0
10,9,17,37,1,0.32,0,2.6,0,1,0
5,2,43,37,3,-3.12,0,-0.8,0,1,0
